Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
MOSS Sylvia - RADIN Judi;112;1,17;0,59;0,58;0,50;71;  0,72;41;0,56;34;0,44;37;0,02;17;0,39;24;0,48;41;
PASMAN Jet - SIMONS Anneke;144;0,95;0,38;0,57;0,98;74;  0,14;69;0,85;45;1,19;29;-0,12;40;0,41;29;0,03;69;
HORSMAN Eileen - RICHARDSON Carol;144;0,74;0,51;0,23;0,16;71;  0,30;71;-0,30;35;0,60;36;0,00;34;0,46;37;0,06;71;
DEKKERS Laura - MICHIELSEN Marion;144;0,74;0,59;0,15;0,01;66;  0,26;78;-0,67;37;0,88;29;-0,03;41;0,05;37;0,25;78;
DEAS Lynn - PALMER Beth;144;0,73;0,39;0,34;0,15;71;  0,52;73;-0,25;48;0,99;23;-0,19;34;-0,39;39;0,82;73;
ARNOLDS Carla - VAN ZWOL Wietske;160;0,66;0,59;0,06;-0,07;91;  0,23;69;0,13;44;-0,25;47;0,05;32;0,49;37;-0,05;69;
GRUMM Iris - WEIGKRICHT Terry;223;0,57;0,27;0,29;-0,06;106;  0,62;114;-0,19;58;0,10;48;0,39;68;0,25;46;0,29;114;
BOJOH Lusje Olha - TUEJE Julita Grace;224;0,49;0,46;0,02;0,15;103;  -0,09;121;0,05;61;0,31;42;-0,13;63;0,19;58;-0,11;121;
ASSMANN Ursula - GOGOMAN Adele;224;0,43;0,36;0,08;0,45;108;  -0,27;115;-0,04;55;0,95;53;0,16;60;-0,41;55;-0,15;115;
MIYAKUNI Ayako - OTA Hiroko;144;0,42;0,15;0,27;0,56;68;  0,01;75;0,70;36;0,39;32;-0,11;27;-0,08;48;0,11;75;
HOULBERG Anne-Sofie - MADSEN Christina Lund;224;0,40;0,43;-0,03;0,07;130;  -0,17;93;0,05;67;0,09;63;-0,48;40;-0,01;53;0,04;93;
TAL Dana - TAL Noga;224;0,31;-0,07;0,38;0,30;108;  0,45;116;-0,19;49;0,71;59;-0,09;61;0,16;55;0,42;116;
DEWI Suci Amita - MURNIATI Kristina Wahyu;224;0,29;0,12;0,18;0,05;104;  0,29;119;0,50;56;-0,47;48;0,30;50;0,24;69;0,02;119;
CHOKSI Rita - DEY Bharati;112;0,29;0,60;-0,31;-0,48;56;  -0,13;56;-0,50;29;-0,46;27;-0,28;24;-0,09;32;0,03;56;
SIMPSON Wendy Ho - SINGH Sagari;144;0,29;0,41;-0,12;0,13;74;  -0,39;69;0,05;32;0,20;42;0,23;37;-0,01;32;-0,51;69;
BEKKOUCHE Nadia - SCHALTZ Dorthe;224;0,28;0,15;0,13;0,04;107;  0,21;116;0,01;51;0,08;56;-0,03;54;0,14;62;0,15;116;
STANSBY JoAnna - ZUR-CAMPANILE Migry;160;0,19;-0,02;0,21;0,26;83;  0,15;77;0,29;38;0,23;45;0,23;33;0,18;44;-0,05;77;
DEORA Hema - KARMARKAR Marianne;160;0,18;0,18;0,00;0,10;83;  -0,10;76;-0,26;37;0,40;46;0,08;37;0,30;39;-0,29;76;
DOWLING-LONG Hilary - PENDER Gilda;144;0,15;0,25;-0,10;-0,04;79;  -0,18;63;-0,49;45;0,56;34;-0,47;36;0,18;27;0,01;63;
COVARRUBIAS Elizabeth - RIEDEL Paula;160;0,09;0,14;-0,05;-0,53;82;  0,46;76;-1,14;25;-0,25;57;0,00;42;0,07;34;0,43;76;
KATO(OTE) Ruri - MARUYAMA Yoko;127;0,02;0,24;-0,22;0,26;62;  -0,68;65;0,50;37;-0,10;25;-0,43;37;-0,15;28;-0,37;65;
NEWTON Shirley - WILKINSON Jenny;160;0,01;-0,20;0,20;0,61;83;  -0,24;76;0,93;32;0,41;51;0,30;45;0,11;31;-0,46;76;
NOSACKI Michal - SAADA Nathalie;224;0,00;0,19;-0,19;-0,40;111;  0,02;112;-0,83;57;0,05;54;0,07;56;0,23;56;-0,13;112;
FUKUYOSHI Yuki - YANAGISAWA Akiko;176;-0,03;-0,06;0,03;-0,31;87;  0,36;89;-0,04;38;-0,52;49;-0,09;50;0,28;39;0,29;89;
WANG Pik-Ching - WONG Wai Man Flora;160;-0,08;-0,60;0,52;0,70;83;  0,33;76;0,24;43;1,20;40;0,04;44;-0,02;32;0,31;76;
HAND Valerie - O'KEEFFE Aileen;144;-0,20;-0,37;0,17;0,09;73;  0,25;70;0,03;29;0,13;44;-0,16;30;0,05;40;0,29;70;
GAZZARI Paula - BAHNA Hilda;144;-0,26;-0,26;0,00;0,10;66;  -0,08;78;-0,20;33;0,40;33;0,16;47;0,05;31;-0,20;78;
NEUMANN Wai Fong Nancy - CHANG Shirley;144;-0,31;-0,15;-0,16;0,29;67;  -0,56;77;0,04;36;0,58;31;0,14;35;-0,16;42;-0,53;77;
BERDICHEVSKY Rosa - CAMPBELL Paulina;144;-0,33;-0,38;0,05;0,16;72;  -0,06;72;1,07;34;-0,65;38;0,49;35;-0,10;37;-0,25;72;
PALMER Glenis - CARTNER Linda;144;-0,41;0,04;-0,45;-0,28;74;  -0,63;69;-0,69;42;0,25;32;-0,69;32;-0,06;37;-0,28;69;
GERSON Nancy - NOSNIK Bronia;224;-0,45;-0,28;-0,17;-0,44;110;  0,10;113;0,38;49;-1,11;61;0,23;55;0,06;58;-0,05;113;
MICHAUX Danielle - TOULET Sandra;144;-0,62;-0,43;-0,19;-0,21;75;  -0,17;68;0,30;31;-0,57;44;0,56;37;-0,18;31;-0,40;68;
DOLERA Margarita Isabel - TINAJERO Claudia;224;-0,80;-0,93;0,12;-0,14;105;  0,36;117;-0,39;55;0,12;50;0,32;50;0,03;67;0,21;117;
MACCIONI Elisabetta - STRIZZI Maria Beatrice;127;-0,83;-0,37;-0,47;-0,33;48;  -0,55;78;-1,07;24;0,40;24;-0,20;38;-0,80;40;-0,05;78;
PECCI Antonia - RITIANI Maurizia;160;-0,90;-0,07;-0,83;-0,70;97;  -1,03;63;-0,69;53;-0,72;44;-0,30;31;-0,29;32;-0,74;63;
FILIPPI Mimma - URBANI Anna Maria;160;-0,97;-0,35;-0,62;-0,80;83;  -0,43;77;-0,77;40;-0,82;43;0,22;29;-0,35;48;-0,29;77;
JOYCE Emer - KENNY Joan;159;-1,01;-0,66;-0,35;-0,32;71;  -0,37;87;-0,16;28;-0,43;43;-0,11;39;0,12;48;-0,39;87;
ELDIN Nicole - REYNAUD Catherine;176;-1,18;-0,87;-0,30;-0,67;76;  -0,02;99;-0,59;34;-0,73;42;-0,08;47;-0,21;52;0,12;99;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
DEAS Lynn - RADIN Judi;32;1,31;0,24;1,07;0,49;19;  1,93;13;1,37;10;-0,49;9;0,23;6;-0,19;7;1,93;13;
DEY Bharati - KARMARKAR Marianne;16;0,38;0,25;0,13;1,22;7;  -0,72;9;1,90;5;-0,50;2;-0,04;4;0,32;5;-0,88;9;
KHANDELWAL Himani - MAYADAS Leena;96;0,11;0,03;0,08;0,28;48;  -0,11;48;-0,01;23;0,55;25;0,01;27;0,04;21;-0,14;48;
HUSEINALI Narguis - MICHAUX Danielle;32;-0,84;-0,03;-0,81;-1,66;11;  -0,37;21;-2,04;7;-0,99;4;-0,15;12;-0,57;9;-0,03;21;
CHOKSI Rita - MAYADAS Leena;64;-0,89;-0,53;-0,36;-0,72;33;  0,03;30;-0,32;21;-1,44;12;0,07;14;0,99;16;-0,53;30;
HUSEINALI Narguis - TOULET Sandra;48;-1,17;-1,01;-0,16;-0,41;23;  0,07;25;-0,05;7;-0,56;16;-0,13;14;-0,06;11;0,17;25;
HUSEINALI Narguis - REYNAUD Catherine;16;-1,38;-0,54;-0,84;-0,20;8;  -1,48;8;-0,67;4;0,28;4;-1,58;4;0,01;4;-0,69;8;
ELDIN Nicole - HUSEINALI Narguis;32;-2,03;-1,28;-0,75;-1,02;16;  -0,48;16;-2,10;7;-0,19;9;-0,30;9;-0,27;7;-0,19;16;

